,postal_code,data_df1,Children in each neighbor,Children Points,data_df2,Single parents,Single parents Points,Unnamed: 0,data,After-tax Income,After-tax Income Rank Score,Unnamed: 0_df4,data_df4,Number of bachlors degreess,Education Score,Unnamed: 0_df5,data_df5,value,Score,mobility_score,final score
72,M5P,2021A0011M5P - Children - Counts - Total,4715.0,24.0,2021A0011M5P - Total one-parent families - Counts - Total,695.0,21.0,62.0,2021A0011M5P - Median after-tax income in 2020 among recipients ($) - Counts - Total,48800.0,82.0,62.0,2021A0011M5P - Bachelor's degree or higher - Counts - Total,10595.0,58.0,64,2021A0011M5P - Non-movers - Counts - Total,17140.0,29,29,56.55
8,M1W,2021A0011M1W - Children - Counts - Total,14840.0,88.0,2021A0011M1W - Total one-parent families - Counts - Total,2910.0,85.0,15.0,2021A0011M1W - Median after-tax income in 2020 among recipients ($) - Counts - Total,29600.0,8.0,15.0,2021A0011M1W - Bachelor's degree or higher - Counts - Total,13180.0,77.0,15,2021A0011M1W - Non-movers - Counts - Total,42150.0,88,88,56.0
62,M4M,2021A0011M4M - Children - Counts - Total,5915.0,34.0,2021A0011M4M - Total one-parent families - Counts - Total,1190.0,39.0,43.0,2021A0011M4M - Median after-tax income in 2020 among recipients ($) - Counts - Total,43600.0,72.0,43.0,2021A0011M4M - Bachelor's degree or higher - Counts - Total,10395.0,56.0,43,2021A0011M4M - Non-movers - Counts - Total,20615.0,40,40,55.849999999999994
22,M3A,2021A0011M3A - Children - Counts - Total,11750.0,74.0,2021A0011M3A - Total one-parent families - Counts - Total,2525.0,81.0,25.0,2021A0011M3A - Median after-tax income in 2020 among recipients ($) - Counts - Total,34400.0,40.0,25.0,2021A0011M3A - Bachelor's degree or higher - Counts - Total,10585.0,57.0,25,2021A0011M3A - Non-movers - Counts - Total,30820.0,64,64,55.49999999999999
66,M2K,2021A0011M2K - Children - Counts - Total,5745.0,30.0,2021A0011M2K - Total one-parent families - Counts - Total,1125.0,37.0,19.0,2021A0011M2K - Median after-tax income in 2020 among recipients ($) - Counts - Total,38400.0,51.0,19.0,2021A0011M2K - Bachelor's degree or higher - Counts - Total,13120.0,75.0,19,2021A0011M2K - Non-movers - Counts - Total,19930.0,37,37,54.15
10,M1P,2021A0011M1P - Children - Counts - Total,14360.0,86.0,2021A0011M1P - Total one-parent families - Counts - Total,2690.0,83.0,10.0,2021A0011M1P - Median after-tax income in 2020 among recipients ($) - Counts - Total,31200.0,15.0,10.0,2021A0011M1P - Bachelor's degree or higher - Counts - Total,11585.0,66.0,10,2021A0011M1P - Non-movers - Counts - Total,39075.0,86,86,54.0
54,M6C,2021A0011M6C - Children - Counts - Total,6840.0,42.0,2021A0011M6C - Total one-parent families - Counts - Total,1070.0,35.0,69.0,2021A0011M6C - Median after-tax income in 2020 among recipients ($) - Counts - Total,40800.0,64.0,69.0,2021A0011M6C - Bachelor's degree or higher - Counts - Total,10060.0,54.0,73,2021A0011M6C - Non-movers - Counts - Total,21450.0,44,44,53.74999999999999
71,M4N,2021A0011M4N - Children - Counts - Total,4765.0,25.0,2021A0011M4N - Total one-parent families - Counts - Total,485.0,12.0,44.0,2021A0011M4N - Median after-tax income in 2020 among recipients ($) - Counts - Total,54400.0,93.0,44.0,2021A0011M4N - Bachelor's degree or higher - Counts - Total,8035.0,40.0,44,2021A0011M4N - Non-movers - Counts - Total,13200.0,19,19,52.8
6,M1K,2021A0011M1K - Children - Counts - Total,16450.0,90.0,2021A0011M1K - Total one-parent families - Counts - Total,3510.0,91.0,6.0,2021A0011M1K - Median after-tax income in 2020 among recipients ($) - Counts - Total,31000.0,13.0,6.0,2021A0011M1K - Bachelor's degree or higher - Counts - Total,10665.0,59.0,6,2021A0011M1K - Non-movers - Counts - Total,43200.0,90,90,52.25
82,M4W,2021A0011M4W - Children - Counts - Total,2950.0,14.0,2021A0011M4W - Total one-parent families - Counts - Total,450.0,11.0,50.0,2021A0011M4W - Median after-tax income in 2020 among recipients ($) - Counts - Total,52000.0,87.0,50.0,2021A0011M4W - Bachelor's degree or higher - Counts - Total,9360.0,46.0,50,2021A0011M4W - Non-movers - Counts - Total,12025.0,17,17,50.900000000000006
70,M6R,2021A0011M6R - Children - Counts - Total,4960.0,26.0,2021A0011M6R - Total one-parent families - Counts - Total,665.0,20.0,79.0,2021A0011M6R - Median after-tax income in 2020 among recipients ($) - Counts - Total,46400.0,79.0,79.0,2021A0011M6R - Bachelor's degree or higher - Counts - Total,9135.0,45.0,83,2021A0011M6R - Non-movers - Counts - Total,16365.0,25,25,50.8
25,M6E,2021A0011M6E - Children - Counts - Total,11020.0,71.0,2021A0011M6E - Total one-parent families - Counts - Total,2390.0,78.0,70.0,2021A0011M6E - Median after-tax income in 2020 among recipients ($) - Counts - Total,34000.0,39.0,70.0,2021A0011M6E - Bachelor's degree or higher - Counts - Total,8710.0,44.0,74,2021A0011M6E - Non-movers - Counts - Total,32910.0,71,71,50.699999999999996
41,M2M,2021A0011M2M - Children - Counts - Total,8375.0,55.0,2021A0011M2M - Total one-parent families - Counts - Total,1610.0,55.0,21.0,2021A0011M2M - Median after-tax income in 2020 among recipients ($) - Counts - Total,31600.0,19.0,21.0,2021A0011M2M - Bachelor's degree or higher - Counts - Total,13715.0,78.0,21,2021A0011M2M - Non-movers - Counts - Total,26690.0,56,56,50.55
11,M9W,2021A0011M9W - Children - Counts - Total,13995.0,85.0,2021A0011M9W - Total one-parent families - Counts - Total,2915.0,86.0,95.0,2021A0011M9W - Median after-tax income in 2020 among recipients ($) - Counts - Total,32400.0,31.0,95.0,2021A0011M9W - Bachelor's degree or higher - Counts - Total,8315.0,41.0,102,2021A0011M9W - Non-movers - Counts - Total,37165.0,82,82,50.45
64,M8Y,2021A0011M8Y - Children - Counts - Total,5870.0,32.0,2021A0011M8Y - Total one-parent families - Counts - Total,1000.0,30.0,84.0,2021A0011M8Y - Median after-tax income in 2020 among recipients ($) - Counts - Total,42800.0,71.0,84.0,2021A0011M8Y - Bachelor's degree or higher - Counts - Total,8435.0,42.0,91,2021A0011M8Y - Non-movers - Counts - Total,19250.0,34,34,49.24999999999999
18,M1L,2021A0011M1L - Children - Counts - Total,12145.0,78.0,2021A0011M1L - Total one-parent families - Counts - Total,2035.0,70.0,7.0,2021A0011M1L - Median after-tax income in 2020 among recipients ($) - Counts - Total,32000.0,28.0,7.0,2021A0011M1L - Bachelor's degree or higher - Counts - Total,9660.0,50.0,7,2021A0011M1L - Non-movers - Counts - Total,31350.0,67,67,49.2
5,M1V,2021A0011M1V - Children - Counts - Total,16525.0,91.0,2021A0011M1V - Total one-parent families - Counts - Total,3015.0,88.0,14.0,2021A0011M1V - Median after-tax income in 2020 among recipients ($) - Counts - Total,27400.0,2.0,14.0,2021A0011M1V - Bachelor's degree or higher - Counts - Total,10700.0,60.0,14,2021A0011M1V - Non-movers - Counts - Total,45655.0,91,91,48.85
93,M5E,2021A0011M5E - Children - Counts - Total,1145.0,3.0,2021A0011M5E - Total one-parent families - Counts - Total,230.0,3.0,56.0,2021A0011M5E - Median after-tax income in 2020 among recipients ($) - Counts - Total,56800.0,96.0,56.0,2021A0011M5E - Bachelor's degree or higher - Counts - Total,8005.0,39.0,56,2021A0011M5E - Non-movers - Counts - Total,7975.0,7,7,48.55
1,M9V,2021A0011M9V - Children - Counts - Total,20320.0,95.0,2021A0011M9V - Total one-parent families - Counts - Total,3925.0,94.0,94.0,2021A0011M9V - Median after-tax income in 2020 among recipients ($) - Counts - Total,29400.0,6.0,94.0,2021A0011M9V - Bachelor's degree or higher - Counts - Total,9715.0,52.0,101,2021A0011M9V - Non-movers - Counts - Total,48560.0,92,92,48.45
20,M9R,2021A0011M9R - Children - Counts - Total,11970.0,76.0,2021A0011M9R - Total one-parent families - Counts - Total,2390.0,78.0,93.0,2021A0011M9R - Median after-tax income in 2020 among recipients ($) - Counts - Total,33600.0,37.0,93.0,2021A0011M9R - Bachelor's degree or higher - Counts - Total,7610.0,37.0,100,2021A0011M9R - Non-movers - Counts - Total,30900.0,65,65,47.7
36,M6B,2021A0011M6B - Children - Counts - Total,9135.0,60.0,2021A0011M6B - Total one-parent families - Counts - Total,1525.0,52.0,68.0,2021A0011M6B - Median after-tax income in 2020 among recipients ($) - Counts - Total,35200.0,43.0,68.0,2021A0011M6B - Bachelor's degree or higher - Counts - Total,8685.0,43.0,72,2021A0011M6B - Non-movers - Counts - Total,25280.0,54,54,47.099999999999994
14,M6N,2021A0011M6N - Children - Counts - Total,12750.0,82.0,2021A0011M6N - Total one-parent families - Counts - Total,2905.0,84.0,77.0,2021A0011M6N - Median after-tax income in 2020 among recipients ($) - Counts - Total,32000.0,28.0,77.0,2021A0011M6N - Bachelor's degree or higher - Counts - Total,7190.0,34.0,81,2021A0011M6N - Non-movers - Counts - Total,36510.0,79,79,46.099999999999994
69,M5N,2021A0011M5N - Children - Counts - Total,5350.0,27.0,2021A0011M5N - Total one-parent families - Counts - Total,595.0,16.0,61.0,2021A0011M5N - Median after-tax income in 2020 among recipients ($) - Counts - Total,44400.0,74.0,61.0,2021A0011M5N - Bachelor's degree or higher - Counts - Total,7380.0,36.0,63,2021A0011M5N - Non-movers - Counts - Total,14285.0,22,22,45.550000000000004
68,M8Z,2021A0011M8Z - Children - Counts - Total,5385.0,28.0,2021A0011M8Z - Total one-parent families - Counts - Total,820.0,28.0,85.0,2021A0011M8Z - Median after-tax income in 2020 among recipients ($) - Counts - Total,45200.0,77.0,85.0,2021A0011M8Z - Bachelor's degree or higher - Counts - Total,6870.0,30.0,92,2021A0011M8Z - Non-movers - Counts - Total,16305.0,24,24,45.449999999999996
83,M8X,2021A0011M8X - Children - Counts - Total,2880.0,13.0,2021A0011M8X - Total one-parent families - Counts - Total,355.0,7.0,83.0,2021A0011M8X - Median after-tax income in 2020 among recipients ($) - Counts - Total,56800.0,96.0,83.0,2021A0011M8X - Bachelor's degree or higher - Counts - Total,5475.0,18.0,90,2021A0011M8X - Non-movers - Counts - Total,9360.0,9,9,43.09999999999999
24,M1S,2021A0011M1S - Children - Counts - Total,11025.0,72.0,2021A0011M1S - Total one-parent families - Counts - Total,2075.0,71.0,12.0,2021A0011M1S - Median after-tax income in 2020 among recipients ($) - Counts - Total,29400.0,6.0,12.0,2021A0011M1S - Bachelor's degree or higher - Counts - Total,10320.0,55.0,12,2021A0011M1S - Non-movers - Counts - Total,33030.0,73,73,43.0
12,M1J,2021A0011M1J - Children - Counts - Total,13905.0,84.0,2021A0011M1J - Total one-parent families - Counts - Total,2935.0,87.0,5.0,2021A0011M1J - Median after-tax income in 2020 among recipients ($) - Counts - Total,31200.0,15.0,5.0,2021A0011M1J - Bachelor's degree or higher - Counts - Total,7690.0,38.0,5,2021A0011M1J - Non-movers - Counts - Total,33880.0,75,75,43.0
59,M8W,2021A0011M8W - Children - Counts - Total,6310.0,37.0,2021A0011M8W - Total one-parent families - Counts - Total,1210.0,40.0,82.0,2021A0011M8W - Median after-tax income in 2020 among recipients ($) - Counts - Total,40800.0,64.0,82.0,2021A0011M8W - Bachelor's degree or higher - Counts - Total,6660.0,26.0,89,2021A0011M8W - Non-movers - Counts - Total,19805.0,36,36,42.65
88,M4T,2021A0011M4T - Children - Counts - Total,2370.0,9.0,2021A0011M4T - Total one-parent families - Counts - Total,315.0,4.0,48.0,2021A0011M4T - Median after-tax income in 2020 among recipients ($) - Counts - Total,56400.0,94.0,48.0,2021A0011M4T - Bachelor's degree or higher - Counts - Total,5880.0,20.0,48,2021A0011M4T - Non-movers - Counts - Total,8905.0,8,8,42.24999999999999
57,M1N,2021A0011M1N - Children - Counts - Total,6680.0,39.0,2021A0011M1N - Total one-parent families - Counts - Total,1220.0,41.0,9.0,2021A0011M1N - Median after-tax income in 2020 among recipients ($) - Counts - Total,39200.0,58.0,9.0,2021A0011M1N - Bachelor's degree or higher - Counts - Total,6805.0,29.0,9,2021A0011M1N - Non-movers - Counts - Total,20090.0,39,39,42.24999999999999
81,M4R,2021A0011M4R - Children - Counts - Total,3365.0,15.0,2021A0011M4R - Total one-parent families - Counts - Total,410.0,9.0,46.0,2021A0011M4R - Median after-tax income in 2020 among recipients ($) - Counts - Total,49600.0,84.0,46.0,2021A0011M4R - Bachelor's degree or higher - Counts - Total,6335.0,24.0,46,2021A0011M4R - Non-movers - Counts - Total,10215.0,11,11,41.6
26,M1T,2021A0011M1T - Children - Counts - Total,10835.0,70.0,2021A0011M1T - Total one-parent families - Counts - Total,2230.0,75.0,13.0,2021A0011M1T - Median after-tax income in 2020 among recipients ($) - Counts - Total,29800.0,10.0,13.0,2021A0011M1T - Bachelor's degree or higher - Counts - Total,9635.0,49.0,13,2021A0011M1T - Non-movers - Counts - Total,30605.0,63,63,41.2
9,M6M,2021A0011M6M - Children - Counts - Total,14670.0,87.0,2021A0011M6M - Total one-parent families - Counts - Total,3840.0,93.0,76.0,2021A0011M6M - Median after-tax income in 2020 among recipients ($) - Counts - Total,31800.0,22.0,76.0,2021A0011M6M - Bachelor's degree or higher - Counts - Total,5825.0,19.0,80,2021A0011M6M - Non-movers - Counts - Total,38100.0,85,85,40.55
30,M1R,2021A0011M1R - Children - Counts - Total,10170.0,66.0,2021A0011M1R - Total one-parent families - Counts - Total,1890.0,64.0,11.0,2021A0011M1R - Median after-tax income in 2020 among recipients ($) - Counts - Total,32000.0,28.0,11.0,2021A0011M1R - Bachelor's degree or higher - Counts - Total,7100.0,32.0,11,2021A0011M1R - Non-movers - Counts - Total,27500.0,59,59,39.99999999999999
53,M2H,2021A0011M2H - Children - Counts - Total,6950.0,43.0,2021A0011M2H - Total one-parent families - Counts - Total,1385.0,46.0,17.0,2021A0011M2H - Median after-tax income in 2020 among recipients ($) - Counts - Total,32000.0,28.0,17.0,2021A0011M2H - Bachelor's degree or higher - Counts - Total,9520.0,48.0,17,2021A0011M2H - Non-movers - Counts - Total,20890.0,43,43,39.64999999999999
77,M3B,2021A0011M3B - Children - Counts - Total,4095.0,19.0,2021A0011M3B - Total one-parent families - Counts - Total,520.0,13.0,26.0,2021A0011M3B - Median after-tax income in 2020 among recipients ($) - Counts - Total,44800.0,75.0,26.0,2021A0011M3B - Bachelor's degree or higher - Counts - Total,6135.0,21.0,26,2021A0011M3B - Non-movers - Counts - Total,11485.0,16,16,38.7
89,M5S,2021A0011M5S - Children - Counts - Total,1985.0,7.0,2021A0011M5S - Total one-parent families - Counts - Total,445.0,10.0,64.0,2021A0011M5S - Median after-tax income in 2020 among recipients ($) - Counts - Total,38400.0,51.0,64.0,2021A0011M5S - Bachelor's degree or higher - Counts - Total,9500.0,47.0,66,2021A0011M5S - Non-movers - Counts - Total,10640.0,13,13,37.14999999999999
